Nome,Partido
Alan Rick,DEM
Dra. Vanda Milani,Solidariedade
Flaviano Melo,MDB
Jessica Sales,MDB
Jesus Sergio,PDT
Mara Rocha,PSDB
Pastor Manuel Marcos,PRB
Perpetua Almeida,PCdoB
Arthur Lira,PP
Isnaldo Bulhoes,MDB
JHC,PSB
Marx Beltrao,PSD
Nivaldo Albuquerque,PTB
Paulao,PT
Sergio Toledo,PR
Severino Pessoa,PRB
Tereza Nelma,PSDB
Acacio Favacho,PROS
Aline Gurgel,PRB
Andre Abdon,PP
Camilo Capiberibe,PSB
Leda Sadala,AVANTE
Luiz Carlos,PSDB
Professora Marcivania,PCdoB
Vinicius,PR
Atila Lins,PP
Bosco Saraiva,Solidariedade
Capitao Alberto Neto,PRB
Delegado Pablo,PSL
Jose Ricardo,PT
Marcelo Ramos,PR
Sidney Leite,PSD
Silas Camara,PRB
Adolfo Viana,PSDB
Afonso Florence,PT
Alex Santana,PDT
Alice Portugal,PCdoB
Antonio Brito,PSD
Arthur Maia,DEM
Bacelar,Podemos
Caca Leao,PP
Charles Fernandes,PSD
Claudio Cajado,PP
Daniel Almeida,PCdoB
Elmar,DEM
Felix Mendonça,PDT
Igor Kannario,PHS
Joao Bacelar,PR
Joao Roma,PRB
Jorge Solla,PT
Jose Nunes,PSD
Jose Rocha,PR
Josias Gomes,PT
Leur Lomanto Jr,DEM
Lidice da Mata,PSB
Marcelo Nilo,PSB
Marcio Marinho,PRB
Mario Negromonte Jr,PP
Otto Alencar Filho,PSD
Pastor Abilio Santana,PHS
Pastor Sargento Isidorio,AVANTE
Paulo Azi,DEM
Pelegrino,PT
Professora Dayane Pimentel,PSL
Raimundo Costa,PRP
Ronaldo Carletto,PP
Sergio Brito,PSD
Tito,AVANTE
Uldurico Junior,PPL
Valmir Assunçao,PT
Waldenor Pereira,PT
Ze Neto,PT
Aj Albuquerque,PP
Andre Figueiredo,PDT
Capitao Wagner,PROS
Celio Studart,PV
Denis Bezerra,PSB
Domingos Neto,PSD
Dr. Jaziel,PR
Eduardo Bismarck,PDT
Genecias Noronha,Solidariedade
Guimaraes,PT
Heitor Freire,PSL
Idilvan,PDT
Jose Airton,PT
Junior Mano,Patriota
Leonidas Cristino,PDT
Luizianne,PT
Mauro Filho,PDT
Moses Rodrigues,MDB
Pedro Bezerra,PTB
Roberio Monteiro,PDT
Roberto Pessoa,PSDB
Vaidon Oliveira,PROS
Bia Kicis,PRP
Celina Leao,PP
Erika Kokay,PT
Flavia Arruda,PR
Julio Cesar,PRB
Luis Miranda,DEM
Paula Belmonte,PPS
Professor Israel,PV
Amaro Neto,PRB
Da Vitoria,PPS
Dra. Soraya Manato,PSL
Evair de Melo,PP
Felipe Rigoni,PSB
Foletto,PSB
Helder Salomao,PT
Lauriete,PR
Norma Ayub,DEM
Sergio Vidigal,PDT
Adriano do Baldy,PP
Alcides Rodrigues,PRP
Celio Silveira,PSDB
Delegado Waldir,PSL
Dr. Zacarias Calil,DEM
Elias Vaz,PSB
Flavia Morais,PDT
Francisco Jr,PSD
Glaustin da Fokus,PSC
Joao Campos,PRB
Jose Nelto,Podemos
Lucas Vergilio,Solidariedade
Magda Mofatto,PR
Major Vitor Hugo,PSL
Professor Alcides,PP
Rubens Otoni,PT
Ze Mario,DEM
Aluisio Mendes,Podemos
Andre Fufuca,PP
Bira do Pindare,PSB
Cleber Verde,PRB
Edilazio,PSD
Eduardo Braide,PMN
Gil Cutrim,PDT
Hildo Rocha,MDB
Joao Marcelo,MDB
Josimar Maranhaozinho,PR
Junior Lourenço,PR
Junior Marreca Filho,Patriota
Juscelino Filho,DEM
Marcio Jerry,PCdoB
Pastor Gildenemyr,PMN
Pedro Lucas Fernandes,PTB
Rubens Junior,PCdoB
Ze Carlos,PT
Carlos Bezerra,MDB
Dr Leonardo,Solidariedade
Emanuel Pinheiro Neto,PTB
Jose Medeiros,Podemos
Juarez Costa,MDB
Nelson Barbudo,PSL
Neri Geller,PP
Professora Rosa Neide,PT
Beto Pereira,PSDB
Dagoberto,PDT
Dr. Luiz Ovando,PSL
Fabio Trad,PSD
Rose Modesto,PSDB
Tereza Cristina,DEM
Loester Trutis,PSL
Vander Loubet,PT
Aecio Neves,PSDB
Ale Silva,PSL
Andre Janones,AVANTE
Aurea Carolina,PSOL
Bilac Pinto,DEM
Cabo Junio Amaral,PSL
Charlles Evangelista,PSL
Delegado Marcelo Freitas,PSL
Diego Andrade,PSD
Dimas Fabiano,PP
Domingos Savio,PSDB
Doutor Frederico,Patriota
Dr. Mario Heringer,PDT
Eduardo Barbosa,PSDB
Emidinho Madeira,PSB
Eros Biondini,PROS
Euclydes Pettersen,PSC
Fabio Ramalho,MDB
Franco Cartafina,PHS
Fred Costa,Patriota
Gilberto Abramo,PRB
Greyce Elias,AVANTE
Hercilio Coelho Diniz,MDB
Igor Timo,Podemos
Julio Delgado,PSB
Lafayette Andrada,PRB
Leo Motta,PSL
Leonardo Monteiro,PT
Lincoln Portela,PR
Lucas Gonzalez,NOVO
Luis Tibe,AVANTE
Marcelo alvaro Antonio,PSL
Marcelo Aro,PHS
Margarida Salomao,PT
Mauro Lopes,MDB
Misael Varella,PSD
Newton Cardoso Jr,MDB
Odair Cunha,PT
Padre Joao,PT
Patrus Ananias,PT
Paulo Abi Ackel,PSDB
Paulo Guedes,PT
Pinheirinho,PP
Reginaldo Lopes,PT
Rodrigo de Castro,PSDB
Rogerio Correia,PT
Stefano Aguiar,PSD
Subtenente Gonzaga,PDT
Tiago Mitraud,NOVO
Vilson da Fetaemg,PSB
Weliton Prado,PROS
Ze Silva,Solidariedade
Ze Vitor,PMN
Airton Faleiro,PT
Beto Faro,PT
Cassio Andrade,PSB
Celso Sabino,PSDB
Cristiano Vale,PR
Delegado eder Mauro,PSD
Edmilson Rodrigues,PSOL
Eduardo Costa,PTB
Elcione,MDB
Helio Leite,DEM
Joaquim Passarinho,PSD
Junior Ferrari,PSD
Nilson Pinto,PSDB
Olival Marques,DEM
Paulo Bengtson,PTB
Priante,MDB
Vava Martins,PRB
Aguinaldo Ribeiro,PP
Dr Damiao,PDT
Edna Henrique,PSDB
Efraim Filho,DEM
Frei Anastacio,PT
Gervasio Maia,PSB
Hugo,PRB
Julian Lemos,PSL
Pedro Cunha Lima,PSDB
Ruy Carneiro,PSDB
Wellington Roberto,PR
Wilson Santiago,PTB
Aliel Machado,PSB
Aline Sleutjes,PSL
Aroldo Martins,PRB
Boca Aberta,PROS
Christiane Yared,PR
Diego Garcia,Podemos
Enio Verri,PT
Felipe Francischini,PSL
Filipe Barros,PSL
Giacobo,PR
Gleisi Hoffman,PT
Gustavo Fruet,PDT
Hermes Frangao Parcianello,MDB
Leandre,PV
Luciano Ducci,PSB
Luisa Canziani,PTB
Luiz Nishimori,PR
Luizao Goulart,PRB
Ney Leprevost,PSD
Paulo Martins,PSC
Pedro Lupion,DEM
Ricardo Barros,PP
Rubens Bueno,PPS
Sandro Alex,PSD
Sargento Fahur,PSD
Schiavinato,PP
Sergio Souza,MDB
Toninho Wandscheer,PROS
Vermelho,PSD
Zeca Dirceu,PT
Andre de Paula,PSD
Andre Ferreira,PSC
Augusto Coutinho,Solidariedade
Bispo Ossesio,PRB
Carlos Veras,PT
Daniel Coelho,PPS
Danilo Cabral,PSB
Eduardo da Fonte,PP
Felipe Carreras,PSB
Fernando Filho,DEM
Fernando Monteiro,PP
Fernando Rodolfo,PHS
Gonzaga Patriota,PSB
Joao Campos,PSB
Luciano Bivar,PSL
Marilia Arraes,PT
Pastor Eurico,Patriota
Raul Henry,MDB
Renildo Calheiros,PCdoB
Ricardo Teobaldo,Podemos
Sebastiao Oliveira,PR
Silvio Costa Filho,PRB
Tadeu Alencar,PSB
Tulio Gadelha,PDT
Wolney Queiroz,PDT
Assis Carvalho,PT
atila Lira,PSB
Capitao Fabio Abreu,PR
Dra. Marina,PTC
Flavio Nogueira,PDT
Iracema Portella,PP
Julio Cesar,PSD
Marcos Aurelio Sampaio,MDB
Margarete Coelho,PP
Rejane Dias,PT
Alessandro Molon,PSB
Alexandre Serfiotis,PSD
Altineu Cortes,PR
Aureo,Solidariedade
Benedita da Silva,PT
Carlos Jordy,PSL
Chico d Angelo,PDT
Chiquinho Brazao,AVANTE
Chris Tonietto,PSL
Christino Aureo,PP
Clarisse Garotinho,PROS
Daniel Silveira,PSL
Daniela do Waguinho,MDB
Delegado Antonio Furtado,PSL
Dr. Luizinho,PP
Felicio Laterça,PSL
Flordelis,PSD
Gelson Azevedo,PHS
Glauber Braga,PSOL
Gutemberg Reis,MDB
Helio Fernando Barbosa Lopes,PSL
Hugo Leal,PSD
Jandira Feghali,PCdoB
David Miranda,PSOL
Juninho do Pneu,DEM
Lourival Gomes,PSL
Luiz Antonio,DC
Luiz Lima,PSL
Major Fabiana,PSL
Marcelo Calero,PPS
Marcelo Freixo,PSOL
Marcio Labre,PSL
Otoni de Paula,PSC
Paulo Ganime,NOVO
Paulo Ramos,PDT
Pedro Paulo,DEM
Professor Joziel,PSL
Rodrigo Maia,DEM
Rosangela Gomes,PRB
Sargento Gurgel,PSL
Soraya Santos,PR
Sostenes,DEM
Taliria Petrone,PSOL
Vinicius Farah,MDB
Jorge Braz,PRB
Wladimir Garotinho,PRP
Benes Leocadio,PTC
Fabio Faria,PSD
General Girao,PSL
Joao Maia,PR
Beto Rosado,PP
Natalia Bonavides,PT
Rafael Motta,PSB
Walter Alves,MDB
Afonso Hamm,PP
Afonso Motta,PDT
Alceu Moreira,MDB
Bibo Nunes,PSL
Bohn Gass,PT
Carlos Gomes,PRB
Covatti Filho,PP
Daniel da TV,PSDB
Danrlei de Deus Goleiro,PSD
Fernanda Melchionna,PSOL
Giovani Cherini,PR
Giovani Feltes,MDB
Heitor Schuch,PSB
Henrique Fontana,PT
Jeronimo Goergen,PP
Liziane Bayer,PSB
Lucas Redecker,PSDB
Marcel Van Hattem,NOVO
Marcelo Moraes,PTB
Marcio Biolchi,MDB
Marcon,PT
Maria do Rosario,PT
Marlon Santos,PDT
Mauricio Dziedricki,PTB
Nereu Crispin,PSL
Onyx Lorenzoni,DEM
Osmar Terra,MDB
Paulo Pimenta,PT
Pedro Westphalen,PP
Pompeo de Mattos,PDT
Sanderson Federal,PSL
Coronel Chrisostomo,PSL
Dr. Mauro Nazif,PSB
Expedito Netto,PSD
Jaqueline Cassol,PP
Leo Moraes,Podemos
Lucio Mosquini,MDB
Mariana Carvalho,PSDB
Silvia Cristina,PDT
Hiran Gonçalves,PP
Edio Lopes,PR
Haroldo Cathedral,PSD
Jhonatan de Jesus,PRB
Joenia Wapichana,REDE
Nicoletti,PSL
Otaci,Solidariedade
Sheridan,PSDB
Angela Amin,PP
Carlos Chiodini,MDB
Carmen Zanotto,PPS
Caroline de Toni,PSL
Celso Maldaner,MDB
Coronel Armando,PSL
Daniel Freitas,PSL
Darci de Matos,PSD
Fabio Schiochet,PSL
Geovania de Sa,PSDB
Gilson Marques,NOVO
Helio Costa,PRB
Peninha,MDB
Professor Pedro Uczai,PT
Ricardo Guidi,PSD
Rodrigo Coelho,PSB
Abou Anni,PSL
Adriana Ventura,NOVO
Alencar Santana,PT
Alex Manente,PPS
Alexandre Frota,PSL
Alexandre Leite,DEM
Alexandre Padilha,PT
Alexis,NOVO
Arlindo Chinaglia,PT
Arnaldo Jardim,PPS
Baleia Rossi,MDB
Bruna Furlan,PSDB
Capitao Augusto,PR
Carla Zambelli,PSL
Carlos Sampaio,PSDB
Carlos Zarattini,PT
Celso Russomano,PRB
Cezinha de Madureira,PSD
Coronel Tadeu,PSL
David Soares,DEM
Eduardo Bolsonaro,PSL
Eduardo Cury,PSDB
Eli Correa Filho,DEM
Enrico Misasi,PV
Fausto Pinato,PP
General Peternelli,PSL
Geninho Zuliani,DEM
Gilberto Nascimento,PSC
Guiga Peixoto,PSL
Guilherme Mussi,PP
Herculano Passos,MDB
Ivan Valente,PSOL
Jefferson Campos,PSB
Joice Hasselmann,PSL
Junior Bozzella,PSL
Kim Kataguiri,DEM
Luiz Carlos Motta,PR
Luiz Philippe O. Bragança,PSL
Luiza Erundina,PSOL
Marcio Alvino,PR
Marco Bertaiolli,PSD
Marcos Pereira,PRB
Maria Rosas,PRB
Miguel Lombardi,PR
Milton Vieira,PRB
Nilto Tatto,PT
Orlando Silva,PCdoB
Pastor Marco Feliciano,Podemos
Paulinho da Força,Solidariedade
Paulo Freire Costa,PR
Paulo Teixeira,PT
Policial Katia Sastre,PR
Professor Luiz Flavio Gomes,PSB
Renata Abreu,Podemos
Ricardo Izar,PP
Roberto Alves,PRB
Roberto de Lucena,Podemos
Rodrigo Agostinho,PSB
Rosana Valle,PSB
Rui Falcao,PT
Samia Bomfim,PSOL
Samuel Moreira,PSDB
Tabata Amaral,PDT
Tenente Derrite,PP
Tiririca,PR
Vanderlei Macris,PSDB
Vicentinho,PT
Vinicius Carvalho,PRB
Vinicius Poit,NOVO
Vitor Lippi,PSDB
Bosco Costa,PR
Fabio Henrique,PDT
Fabio Mitidieri,PSD
Fabio Reis,MDB
Gustinho Ribeiro,Solidariedade
Joao Daniel,PT
Laercio Oliveira,PP
Valdevan Noventa,PSC
Carlos Henrique Gaguim,DEM
Celio Moura,PT
Dulce Miranda,MDB
Eli Borges,Solidariedade
Osires Damaso,PSC
Professora Dorinha,DEM
Tiago Dimas,Solidariedade
Vicentinho Junior,PR
