,Nome,Partido,Estado,votos_totalizados,total_de_votos,Ideologia
0,Leda Sadala,AVANTE,AP,11301,426382,Centro
1,Pastor Sargento Isidório,AVANTE,BA,323264,8235310,Centro
2,Tito,AVANTE,BA,48899,8235310,Centro
3,Andre Janones,AVANTE,MG,178660,12211254,Centro
4,Luis Tibe,AVANTE,MG,50474,12211254,Centro
5,Greyce Elias,AVANTE,MG,37620,12211254,Centro
6,Chiquinho Brazão,AVANTE,RJ,25817,9474441,Centro
7,Luiz Antônio,DC,RJ,50284,9474441,Direita
8,Alan Rick,DEM,AC,22263,443429,Direita
9,Elmar,DEM,BA,103823,8235310,Direita
10,Arthur Maia,DEM,BA,88908,8235310,Direita
11,Paulo Azi,DEM,BA,84090,8235310,Direita
12,Leur Lomanto Jr,DEM,BA,82110,8235310,Direita
13,Luis Miranda,DEM,DF,65107,1691392,Direita
14,Norma Ayub,DEM,ES,57156,2223207,Direita
15,Dr. Zacarias Calil,DEM,GO,151508,3553706,Direita
16,Zé Mario,DEM,GO,96188,3553706,Direita
17,Juscelino Filho,DEM,MA,97075,3604580,Direita
18,Bilac Pinto,DEM,MG,87683,12211254,Direita
19,Tereza Cristina,DEM,MS,75068,1478642,Direita
20,Olival Marques,DEM,PA,135398,4400611,Direita
21,Hélio Leite,DEM,PA,102554,4400611,Direita
22,Efraim Filho,DEM,PB,76089,2435477,Direita
23,Fernando Filho,DEM,PE,92188,5391639,Direita
24,Pedro Lupion,DEM,PR,92300,6616901,Direita
25,Sóstenes,DEM,RJ,94203,9474441,Direita
26,Rodrigo Maia,DEM,RJ,74232,9474441,Direita
27,Pedro Paulo,DEM,RJ,56646,9474441,Direita
28,Juninho do Pneu,DEM,RJ,45087,9474441,Direita
29,Onyx Lorenzoni,DEM,RS,183518,6835866,Direita
30,Kim Kataguiri,DEM,SP,465310,25921320,Direita
31,Alexandre Leite,DEM,SP,116416,25921320,Direita
32,David Soares,DEM,SP,99865,25921320,Direita
33,Eli Corrêa Filho,DEM,SP,92257,25921320,Direita
34,Geninho Zuliani,DEM,SP,89378,25921320,Direita
35,Carlos Henrique Gaguim,DEM,TO,48012,831214,Direita
36,Professora Dorinha,DEM,TO,48008,831214,Direita
37,Jéssica Sales,MDB,AC,28717,443429,Centro
38,Flaviano Melo,MDB,AC,18723,443429,Centro
39,Isnaldo Bulhões,MDB,AL,71847,1692875,Centro
40,Moses Rodrigues,MDB,CE,128526,5243490,Centro
41,Hildo Rocha,MDB,MA,77661,3604580,Centro
42,João Marcelo,MDB,MA,67352,3604580,Centro
43,Hercílio Coelho Diniz,MDB,MG,120489,12211254,Centro
44,Newton Cardoso Jr,MDB,MG,69900,12211254,Centro
45,Fabio Ramalho,MDB,MG,63149,12211254,Centro
46,Mauro Lopes,MDB,MG,58243,12211254,Centro
47,Carlos Bezerra,MDB,MT,59155,1757368,Centro
48,Juarez Costa,MDB,MT,49912,1757368,Centro
49,Elcione,MDB,PA,165202,4400611,Centro
50,Priante,MDB,PA,154647,4400611,Centro
51,Raul Henry,MDB,PE,87585,5391639,Centro
52,Marcos Aurelio Sampaio,MDB,PI,73302,1997587,Centro
53,Hermes Frangão Parcianello,MDB,PR,110717,6616901,Centro
54,Sérgio Souza,MDB,PR,94077,6616901,Centro
55,Daniela do Waguinho,MDB,RJ,136286,9474441,Centro
56,Vinícius Farah,MDB,RJ,57707,9474441,Centro
57,Gutemberg Reis,MDB,RJ,54573,9474441,Centro
58,Walter Alves,MDB,RN,79333,1966450,Centro
59,Lucio Mosquini,MDB,RO,38630,912914,Centro
60,Márcio Biolchi,MDB,RS,100362,6835866,Centro
61,Alceu Moreira,MDB,RS,100341,6835866,Centro
62,Giovani Feltes,MDB,RS,93088,6835866,Centro
63,Osmar Terra,MDB,RS,86305,6835866,Centro
64,Carlos Chiodini,MDB,SC,97613,4241667,Centro
65,Celso Maldaner,MDB,SC,80086,4241667,Centro
66,Peninha,MDB,SC,76925,4241667,Centro
67,Fabio Reis,MDB,SE,64879,1279582,Centro
68,Baleia Rossi,MDB,SP,214042,25921320,Centro
69,Herculano Passos,MDB,SP,49653,25921320,Centro
70,Dulce Miranda,MDB,TO,40719,831214,Centro
71,Tiago Mitraud,NOVO,MG,71901,12211254,Direita
72,Lucas Gonzalez,NOVO,MG,64022,12211254,Direita
73,Paulo Ganime,NOVO,RJ,52983,9474441,Direita
74,Marcel Van Hattem,NOVO,RS,349855,6835866,Direita
75,Gilson Marques,NOVO,SC,27443,4241667,Direita
76,Vinicius Poit,NOVO,SP,207118,25921320,Direita
77,Adriana Ventura,NOVO,SP,64341,25921320,Direita
78,Alexis,NOVO,SP,45298,25921320,Direita
79,Júnior Mano,PATRIOTA,CE,67917,5243490,Direita
80,Junior Marreca Filho,PATRIOTA,MA,79674,3604580,Direita
81,Fred Costa,PATRIOTA,MG,87446,12211254,Direita
82,Doutor Frederico,PATRIOTA,MG,60950,12211254,Direita
83,Pastor Eurico,PATRIOTA,PE,125025,5391639,Direita
84,Perpetua Almeida ,PCDOB,AC,18374,443429,Esquerda
85,Professora Marcivania,PCDOB,AP,14196,426382,Esquerda
86,Alice Portugal,PCDOB,BA,126595,8235310,Esquerda
87,Daniel Almeida,PCDOB,BA,114213,8235310,Esquerda
88,Márcio Jerry,PCDOB,MA,134223,3604580,Esquerda
89,Rubens Junior,PCDOB,MA,111584,3604580,Esquerda
90,Renildo Calheiros,PCDOB,PE,57919,5391639,Esquerda
91,Jandira Feghali,PCDOB,RJ,71646,9474441,Esquerda
92,Orlando Silva,PCDOB,SP,64822,25921320,Esquerda
93,Jesus Sérgio,PDT,AC,9537,443429,Esquerda
94,Felix Mendonça,PDT,BA,91913,8235310,Esquerda
95,Alex Santana,PDT,BA,62922,8235310,Esquerda
96,Mauro Filho,PDT,CE,157510,5243490,Esquerda
97,Idilvan,PDT,CE,154338,5243490,Esquerda
98,Robério Monteiro,PDT,CE,131275,5243490,Esquerda
99,André Figueiredo,PDT,CE,103385,5243490,Esquerda
100,Leonidas Cristino,PDT,CE,102417,5243490,Esquerda
101,Eduardo Bismarck,PDT,CE,87009,5243490,Esquerda
102,Sergio Vidigal,PDT,ES,73030,2223207,Esquerda
103,Flavia Morais,PDT,GO,169774,3553706,Esquerda
104,Gil Cutrim,PDT,MA,72038,3604580,Esquerda
105,Subtenente Gonzaga,PDT,MG,93932,12211254,Esquerda
106,Dr. Mário Heringer,PDT,MG,89046,12211254,Esquerda
107,Dagoberto,PDT,MS,40233,1478642,Esquerda
108,Dr Damião,PDT,PB,100876,2435477,Esquerda
109,Wolney Queiroz,PDT,PE,82592,5391639,Esquerda
110,Túlio Gadêlha,PDT,PE,75642,5391639,Esquerda
111,Flavio Nogueira,PDT,PI,111672,1997587,Esquerda
112,Gustavo Fruet,PDT,PR,113252,6616901,Esquerda
113,Chico D'Angelo,PDT,RJ,26417,9474441,Esquerda
114,Paulo Ramos,PDT,RJ,25557,9474441,Esquerda
115,Silvia Cristina,PDT,RO,33038,912914,Esquerda
116,Marlon Santos,PDT,RS,116483,6835866,Esquerda
117,Pompeo de Mattos,PDT,RS,80427,6835866,Esquerda
118,Afonso Motta,PDT,RS,65712,6835866,Esquerda
119,Fábio Henrique,PDT,SE,35226,1279582,Esquerda
120,Tabata Amaral,PDT,SP,264450,25921320,Esquerda
121,Igor Kannario,PHS,BA,54858,8235310,Centro
122,Pastor Abilio Santana,PHS,BA,50345,8235310,Centro
123,Marcelo Aro,PHS,MG,107219,12211254,Centro
124,Franco Cartafina,PHS,MG,53390,12211254,Centro
125,Fernando Rodolfo,PHS,PE,52824,5391639,Centro
126,Gelson Azevedo,PHS,RJ,28216,9474441,Centro
127,Eduardo Braide,PMN,MA,189843,3604580,Esquerda
128,Pastor Gildenemyr,PMN,MA,47758,3604580,Esquerda
129,Zé Vitor,PMN,MG,32833,12211254,Esquerda
130,Bacelar,PODEMOS,BA,149274,8235310,Direita
131,José  Nelto,PODEMOS,GO,61809,3553706,Direita
132,Aluisio Mendes,PODEMOS,MA,105778,3604580,Direita
133,Igor Timo,PODEMOS,MG,60509,12211254,Direita
134,Jose Medeiros,PODEMOS,MT,82528,1757368,Direita
135,Ricardo Teobaldo,PODEMOS,PE,73551,5391639,Direita
136,Diego Garcia,PODEMOS,PR,103154,6616901,Direita
137,Léo Moraes,PODEMOS,RO,69565,912914,Direita
138,Pastor Marco Feliciano,PODEMOS,SP,239784,25921320,Direita
139,Renata Abreu,PODEMOS,SP,161239,25921320,Direita
140,Roberto de Lucena,PODEMOS,SP,56033,25921320,Direita
141,Arthur Lira,PP,AL,143858,1692875,Direita
142,Atila Lins,PP,AM,118700,1957418,Direita
143,Andre Abdon,PP,AP,12856,426382,Direita
144,Ronaldo Carletto,PP,BA,118097,8235310,Direita
145,Cacá Leão,PP,BA,106592,8235310,Direita
146,Claudio Cajado,PP,BA,104322,8235310,Direita
147,Mário Negromonte Jr,PP,BA,102512,8235310,Direita
148,Aj Albuquerque,PP,CE,132319,5243490,Direita
149,Celina Leão,PP,DF,31610,1691392,Direita
150,Evair de Melo,PP,ES,48412,2223207,Direita
151,Professor Alcides,PP,GO,88545,3553706,Direita
152,Adriano do Baldy,PP,GO,77729,3553706,Direita
153,Andre Fufuca,PP,MA,105583,3604580,Direita
154,Pinheirinho,PP,MG,98404,12211254,Direita
155,Dimas Fabiano,PP,MG,74223,12211254,Direita
156,Neri Geller,PP,MT,73072,1757368,Direita
157,Aguinaldo Ribeiro,PP,PB,120220,2435477,Direita
158,Eduardo da Fonte,PP,PE,113640,5391639,Direita
159,Fernando Monteiro,PP,PE,82071,5391639,Direita
160,Iracema Portella,PP,PI,96277,1997587,Direita
161,Margarete Coelho,PP,PI,76338,1997587,Direita
162,Ricardo Barros,PP,PR,80025,6616901,Direita
163,Schiavinato,PP,PR,75540,6616901,Direita
164,Dr. Luizinho,PP,RJ,103745,9474441,Direita
165,Christino Aureo,PP,RJ,47101,9474441,Direita
166,Jaqueline Cassol,PP,RO,34193,912914,Direita
167,Dr. Hiran Gonçalves,PP,RR,13299,286754,Direita
168,Covatti Filho,PP,RS,102063,6835866,Direita
169,Afonso Hamm,PP,RS,100018,6835866,Direita
170,Pedro Westphalen,PP,RS,97163,6835866,Direita
171,Jerônimo Goergen,PP,RS,89707,6835866,Direita
172,Angela Amin,PP,SC,86189,4241667,Direita
173,Laercio Oliveira,PP,SE,68014,1279582,Direita
174,Guilherme Mussi,PP,SP,134301,25921320,Direita
175,Ricardo Izar,PP,SP,121869,25921320,Direita
176,Tenente Derrite,PP,SP,119034,25921320,Direita
177,Fausto Pinato,PP,SP,118684,25921320,Direita
178,Uldúrico Júnior,PPL,BA,66343,8235310,Esquerda
179,Paula Belmonte,PPS,DF,46069,1691392,Esquerda
180,da Vitoria,PPS,ES,74787,2223207,Esquerda
181,Daniel Coelho,PPS,PE,97745,5391639,Esquerda
182,Rubens Bueno,PPS,PR,76471,6616901,Esquerda
183,Marcelo Calero,PPS,RJ,50533,9474441,Esquerda
184,Carmen Zanotto,PPS,SC,84703,4241667,Esquerda
185,Arnaldo Jardim,PPS,SP,132363,25921320,Esquerda
186,Alex Manente,PPS,SP,127366,25921320,Esquerda
187,Sérgio Toledo,PR,AL,98201,1692875,Direita
188,Marcelo Ramos,PR,AM,106805,1957418,Direita
189,Vinícius,PR,AP,18818,426382,Direita
190,João Bacelar,PR,BA,84684,8235310,Direita
191,Jose Rocha,PR,BA,84016,8235310,Direita
192,Dr.Jaziel,PR,CE,65300,5243490,Direita
193,Flavia Arruda,PR,DF,121340,1691392,Direita
194,Lauriete,PR,ES,51983,2223207,Direita
195,Magda Mofatto,PR,GO,88894,3553706,Direita
196,Josimar Maranhãozinho,PR,MA,195768,3604580,Direita
197,Junior Lourenço,PR,MA,117033,3604580,Direita
198,Lincoln Portela,PR,MG,105731,12211254,Direita
199,Cristiano Vale,PR,PA,176812,4400611,Direita
200,Wellington Roberto,PR,PB,107465,2435477,Direita
201,Sebastião Oliveira,PR,PE,129978,5391639,Direita
202,Capitão Fábio Abreu,PR,PI,132719,1997587,Direita
203,Giacobo,PR,PR,111384,6616901,Direita
204,Christiane Yared,PR,PR,107636,6616901,Direita
205,Luiz Nishimori,PR,PR,73344,6616901,Direita
206,Altineu Cortes,PR,RJ,55367,9474441,Direita
207,Soraya Santos,PR,RJ,48328,9474441,Direita
208,João Maia,PR,RN,93505,1966450,Direita
209,Edio Lopes,PR,RR,11952,286754,Direita
210,Giovani Cherini,PR,RS,151719,6835866,Direita
211,Bosco Costa,PR,SE,47788,1279582,Direita
212,Tiririca,PR,SP,453855,25921320,Direita
213,Policial Katia Sastre,PR,SP,264013,25921320,Direita
214,Capitão Augusto,PR,SP,242327,25921320,Direita
215,Marcio Alvino,PR,SP,135844,25921320,Direita
216,Paulo Freire Costa,PR,SP,109461,25921320,Direita
217,Miguel Lombardi,PR,SP,93093,25921320,Direita
218,Luiz Carlos Motta,PR,SP,75218,25921320,Direita
219,Vicentinho Junior,PR,TO,49868,831214,Direita
220,Pastor Manuel Marcos,PRB,AC,7489,443429,Direita
221,Severino Pessôa,PRB,AL,70413,1692875,Direita
222,Silas Câmara,PRB,AM,117181,1957418,Direita
223,Capitão Alberto Neto,PRB,AM,107168,1957418,Direita
224,Aline Gurgel,PRB,AP,16519,426382,Direita
225,Marcio Marinho,PRB,BA,95204,8235310,Direita
226,João Roma,PRB,BA,84455,8235310,Direita
227,Julio Cesar,PRB,DF,79775,1691392,Direita
228,Amaro Neto,PRB,ES,181813,2223207,Direita
229,João Campos,PRB,GO,106014,3553706,Direita
230,Cleber Verde,PRB,MA,101806,3604580,Direita
231,Gilberto Abramo,PRB,MG,162092,12211254,Direita
232,Lafayette Andrada,PRB,MG,103090,12211254,Direita
233,Vavá Martins,PRB,PA,158717,4400611,Direita
234,Hugo,PRB,PB,92468,2435477,Direita
235,Silvio Costa Filho,PRB,PE,109185,5391639,Direita
236,Bispo Ossesio,PRB,PE,65939,5391639,Direita
237,Luizão Goulart,PRB,PR,141730,6616901,Direita
238,Aroldo Martins,PRB,PR,52572,6616901,Direita
239,Wagner Montes,PRB,RJ,65868,9474441,Direita
240,Rosangela Gomes ,PRB,RJ,63952,9474441,Direita
241,Jhonatan de Jesus,PRB,RR,13429,286754,Direita
242,Carlos Gomes,PRB,RS,103373,6835866,Direita
243,Hélio Costa,PRB,SC,179307,4241667,Direita
244,Celso Russomanno,PRB,SP,521728,25921320,Direita
245,Marcos Pereira,PRB,SP,139165,25921320,Direita
246,Vinicius Carvalho,PRB,SP,97862,25921320,Direita
247,Roberto Alves,PRB,SP,82097,25921320,Direita
248,Milton Vieira,PRB,SP,77413,25921320,Direita
249,Maria Rosas,PRB,SP,71745,25921320,Direita
250,Acácio Favacho,PROS,AP,19111,426382,Centro
251,Capitão Wagner,PROS,CE,303593,5243490,Centro
252,Vaidon Oliveira,PROS,CE,30392,5243490,Centro
253,Eros Biondini,PROS,MG,157394,12211254,Centro
254,Weliton Prado,PROS,MG,129199,12211254,Centro
255,Boca Aberta,PROS,PR,90158,6616901,Centro
256,Toninho Wandscheer,PROS,PR,72475,6616901,Centro
257,Clarissa Garontinho,PROS,RJ,35131,9474441,Centro
258,Raimundo Costa,PRP,BA,38829,8235310,Direita
