,Nome,Partido,Estado,votos_totalizados,total_de_votos,Ideologia
259,Bia Kicis,PRP,DF,86415,1691392,Direita
260,Alcides Rodrigues,PRP,GO,64941,3553706,Direita
261,Wladimir Garotinho,PRP,RJ,39398,9474441,Direita
262,Jhc,PSB,AL,178645,1692875,Esquerda
263,Camilo Capiberibe,PSB,AP,24987,426382,Esquerda
264,Marcelo Nilo,PSB,BA,115277,8235310,Esquerda
265,Lídice da Mata,PSB,BA,104348,8235310,Esquerda
266,Denis Bezerra,PSB,CE,106294,5243490,Esquerda
267,Felipe Rigoni,PSB,ES,84405,2223207,Esquerda
268,Foletto,PSB,ES,55957,2223207,Esquerda
269,Elias Vaz,PSB,GO,74877,3553706,Esquerda
270,Bira do Pindaré,PSB,MA,99598,3604580,Esquerda
271,Emidinho Madeira,PSB,MG,103533,12211254,Esquerda
272,Vilson da Fetaemg,PSB,MG,70481,12211254,Esquerda
273,Julio Delgado,PSB,MG,58413,12211254,Esquerda
274,Cássio Andrade,PSB,PA,130768,4400611,Esquerda
275,Gervásio Maia,PSB,PB,146860,2435477,Esquerda
276,João Campos,PSB,PE,460387,5391639,Esquerda
277,Felipe Carreras,PSB,PE,114268,5391639,Esquerda
278,Danilo Cabral,PSB,PE,91635,5391639,Esquerda
279,Gonzaga Patriota,PSB,PE,80498,5391639,Esquerda
280,Tadeu Alencar,PSB,PE,53597,5391639,Esquerda
281,Átila Lira,PSB,PI,54095,1997587,Esquerda
282,Luciano Ducci,PSB,PR,98214,6616901,Esquerda
283,Aliel Machado,PSB,PR,95386,6616901,Esquerda
284,Alessandro Molon,PSB,RJ,227914,9474441,Esquerda
285,Rafael Motta,PSB,RN,82791,1966450,Esquerda
286,Dr. Mauro Nazif,PSB,RO,30399,912914,Esquerda
287,Heitor Schuch,PSB,RS,109053,6835866,Esquerda
288,Liziane Bayer,PSB,RS,52977,6835866,Esquerda
289,Rodrigo Coelho,PSB,SC,43314,4241667,Esquerda
290,Rosana Valle,PSB,SP,106100,25921320,Esquerda
291,Rodrigo Agostinho,PSB,SP,100179,25921320,Esquerda
292,Jefferson Campos,PSB,SP,99974,25921320,Esquerda
293,Professor Luiz Flavio Gomes,PSB,SP,86433,25921320,Esquerda
294,Glaustin da Fokus,PSC,GO,100437,3553706,Direita
295,Euclydes Pettersen ,PSC,MG,65316,12211254,Direita
296,Andre Ferreira,PSC,PE,175834,5391639,Direita
297,Paulo Martins,PSC,PR,118754,6616901,Direita
298,Otoni de Paula,PSC,RJ,120498,9474441,Direita
299,Valdevan Noventa,PSC,SE,45472,1279582,Direita
300,Gilberto Nascimento,PSC,SP,91797,25921320,Direita
301,Osires Damaso,PSC,TO,58726,831214,Direita
302,Marx Beltrão,PSD,AL,139458,1692875,Direita
303,Sidney Leite,PSD,AM,77458,1957418,Direita
304,Otto Alencar Filho,PSD,BA,185428,8235310,Direita
305,Antonio Brito,PSD,BA,127716,8235310,Direita
306,Sérgio Brito,PSD,BA,105427,8235310,Direita
307,José Nunes,PSD,BA,99535,8235310,Direita
308,Domingos Neto,PSD,CE,111154,5243490,Direita
309,Francisco Jr,PSD,GO,111788,3553706,Direita
310,Edilazio,PSD,MA,106576,3604580,Direita
311,Misael Varella,PSD,MG,128537,12211254,Direita
312,Stefano Aguiar,PSD,MG,115795,12211254,Direita
313,Diego Andrade,PSD,MG,105803,12211254,Direita
314,Fabio Trad,PSD,MS,89385,1478642,Direita
315,Júnior Ferrari,PSD,PA,146678,4400611,Direita
316,Delegado Éder Mauro,PSD,PA,145653,4400611,Direita
317,Joaquim Passarinho,PSD,PA,95582,4400611,Direita
318,Andre de Paula,PSD,PE,118641,5391639,Direita
319,Júlio Cesar,PSD,PI,110804,1997587,Direita
320,Sargento Fahur,PSD,PR,314963,6616901,Direita
321,Sandro Alex,PSD,PR,124512,6616901,Direita
322,Ney Leprevost,PSD,PR,92399,6616901,Direita
323,Vermelho,PSD,PR,70001,6616901,Direita
324,Flordelis,PSD,RJ,196959,9474441,Direita
325,Hugo Leal,PSD,RJ,63561,9474441,Direita
326,Alexandre Serfiotis,PSD,RJ,37526,9474441,Direita
327,Fábio Faria,PSD,RN,70350,1966450,Direita
328,Expedito Netto,PSD,RO,39953,912914,Direita
329,Haroldo Cathedral,PSD,RR,14751,286754,Direita
330,Danrlei de Deus Goleiro,PSD,RS,102662,6835866,Direita
331,Darci de Matos,PSD,SC,68130,4241667,Direita
332,Ricardo Guidi,PSD,SC,61830,4241667,Direita
333,Fábio Mitidieri,PSD,SE,102899,1279582,Direita
334,Marco Bertaiolli,PSD,SP,137628,25921320,Direita
335,Cezinha de Madureira,PSD,SP,119024,25921320,Direita
336,Mara Rocha,PSDB,AC,40047,443429,Centro
337,Tereza Nelma,PSDB,AL,44207,1692875,Centro
338,Luiz Carlos,PSDB,AP,14069,426382,Centro
339,Adolfo Viana ,PSDB,BA,102603,8235310,Centro
340,Roberto Pessoa,PSDB,CE,102470,5243490,Centro
341,Célio Silveira,PSDB,GO,70663,3553706,Centro
342,Rodrigo de Castro,PSDB,MG,131120,12211254,Centro
343,Aécio Neves,PSDB,MG,106702,12211254,Centro
344,Eduardo Barbosa,PSDB,MG,105969,12211254,Centro
345,Domingos Sávio,PSDB,MG,80990,12211254,Centro
346,Paulo Abi Ackel,PSDB,MG,79797,12211254,Centro
347,Rose Modesto,PSDB,MS,120901,1478642,Centro
348,Beto Pereira,PSDB,MS,80500,1478642,Centro
349,Nilson Pinto,PSDB,PA,148972,4400611,Centro
350,Celso Sabino,PSDB,PA,146288,4400611,Centro
351,Pedro Cunha Lima,PSDB,PB,76754,2435477,Centro
352,Edna Henrique,PSDB,PB,69935,2435477,Centro
353,Ruy Carneiro,PSDB,PB,61259,2435477,Centro
354,Mariana Carvalho,PSDB,RO,38776,912914,Centro
355,Shéridan,PSDB,RR,12129,286754,Centro
356,Lucas Redecker,PSDB,RS,114346,6835866,Centro
357,Daniel da Tv,PSDB,RS,74789,6835866,Centro
358,Geovania de Sa,PSDB,SC,101937,4241667,Centro
359,Bruna Furlan,PSDB,SP,126847,25921320,Centro
360,Carlos Sampaio,PSDB,SP,125666,25921320,Centro
361,Vitor Lippi,PSDB,SP,120529,25921320,Centro
362,Samuel Moreira,PSDB,SP,103215,25921320,Centro
363,Vanderlei Macris,PSDB,SP,102708,25921320,Centro
364,Eduardo Cury,PSDB,SP,94282,25921320,Centro
365,Delegado Pablo,PSL,AM,151649,1957418,Direita
366,Prof. Dayane Pimentel,PSL,BA,136742,8235310,Direita
367,Heitor Freire,PSL,CE,97201,5243490,Direita
368,Dra. Soraya Manato,PSL,ES,57741,2223207,Direita
369,Delegado Waldir,PSL,GO,274406,3553706,Direita
370,Major Vitor Hugo,PSL,GO,31190,3553706,Direita
371,Marcelo Alvaro Antonio,PSL,MG,230008,12211254,Direita
372,Cabo Junio Amaral,PSL,MG,158541,12211254,Direita
373,Delegado Marcelo Freitas,PSL,MG,58176,12211254,Direita
374,Charlles Evangelista,PSL,MG,51626,12211254,Direita
375,Léo Motta,PSL,MG,51073,12211254,Direita
376,Alê Silva,PSL,MG,48043,12211254,Direita
377,Tio Trutis,PSL,MS,56339,1478642,Direita
378,Dr. Luiz Ovando,PSL,MS,50376,1478642,Direita
379,Nelson Barbudo,PSL,MT,126249,1757368,Direita
380,Julian Lemos,PSL,PB,71899,2435477,Direita
381,Luciano Bivar,PSL,PE,117943,5391639,Direita
382,Felipe Francischini,PSL,PR,241537,6616901,Direita
383,Filipe Barros,PSL,PR,75326,6616901,Direita
384,Aline Sleutjes,PSL,PR,33628,6616901,Direita
385,Helio Fernando Barbosa Lopes,PSL,RJ,345234,9474441,Direita
386,Carlos Jordy,PSL,RJ,204048,9474441,Direita
387,Luiz Lima ,PSL,RJ,115119,9474441,Direita
388,Delegado Antônio Furtado,PSL,RJ,104211,9474441,Direita
389,Sargento Gurgel,PSL,RJ,62089,9474441,Direita
390,Major Fabiana,PSL,RJ,57611,9474441,Direita
391,Felício Laterça,PSL,RJ,47065,9474441,Direita
392,Márcio Labre,PSL,RJ,46934,9474441,Direita
393,Lourival Gomes,PSL,RJ,41307,9474441,Direita
394,Chris Tonietto,PSL,RJ,38525,9474441,Direita
395,Professor Joziel,PSL,RJ,34274,9474441,Direita
396,Daniel Silveira,PSL,RJ,31789,9474441,Direita
397,General Girao,PSL,RN,81640,1966450,Direita
398,Coronel Chrisóstomo,PSL,RO,28344,912914,Direita
399,Nicoletti,PSL,RR,12969,286754,Direita
400,Bibo Nunes,PSL,RS,91664,6835866,Direita
401,Sanderson Federal,PSL,RS,88559,6835866,Direita
402,Nereu Crispin,PSL,RS,32200,6835866,Direita
403,Daniel Freitas,PSL,SC,142571,4241667,Direita
404,Caroline de Toni,PSL,SC,109363,4241667,Direita
405,Fabio Schiochet,PSL,SC,87345,4241667,Direita
406,Coronel Armando,PSL,SC,60069,4241667,Direita
407,Eduardo Bolsonaro,PSL,SP,1843735,25921320,Direita
408,Joice Hasselmann,PSL,SP,1078666,25921320,Direita
409,Alexandre Frota,PSL,SP,155522,25921320,Direita
410,Luiz Philippe o. Bragança,PSL,SP,118457,25921320,Direita
411,Coronel Tadeu,PSL,SP,98373,25921320,Direita
412,Junior Bozzella,PSL,SP,78712,25921320,Direita
413,Carla Zambelli,PSL,SP,76306,25921320,Direita
414,General Peternelli,PSL,SP,74190,25921320,Direita
415,Abou Anni,PSL,SP,69256,25921320,Direita
416,Guiga Peixoto,PSL,SP,31718,25921320,Direita
417,Aurea Carolina,PSOL,MG,162740,12211254,Esquerda
418,Edmilson Rodrigues,PSOL,PA,184042,4400611,Esquerda
419,Marcelo Freixo,PSOL,RJ,342491,9474441,Esquerda
420,Talíria Petrone,PSOL,RJ,107317,9474441,Esquerda
421,Glauber Braga,PSOL,RJ,40199,9474441,Esquerda
422,Jean Wyllys,PSOL,RJ,24295,9474441,Esquerda
423,Fernanda Melchionna,PSOL,RS,114302,6835866,Esquerda
424,Sâmia Bomfim,PSOL,SP,249887,25921320,Esquerda
425,Luiza Erundina,PSOL,SP,176883,25921320,Esquerda
426,Ivan Valente,PSOL,SP,155334,25921320,Esquerda
427,Paulão,PT,AL,60900,1692875,Esquerda
428,José Ricardo,PT,AM,197270,1957418,Esquerda
429,Jorge Solla,PT,BA,135657,8235310,Esquerda
430,Afonso Florence,PT,BA,130548,8235310,Esquerda
431,Zé Neto,PT,BA,129196,8235310,Esquerda
432,Caetano,PT,BA,124647,8235310,Esquerda
433,Waldenor Pereira,PT,BA,121278,8235310,Esquerda
434,Valmir Assunção,PT,BA,118313,8235310,Esquerda
435,Josias Gomes,PT,BA,115571,8235310,Esquerda
436,Pelegrino,PT,BA,101476,8235310,Esquerda
437,Luizianne,PT,CE,173777,5243490,Esquerda
438,Guimaraes,PT,CE,173039,5243490,Esquerda
439,Jose Airton,PT,CE,74099,5243490,Esquerda
440,Erika Kokay,PT,DF,89986,1691392,Esquerda
441,Helder Salomão,PT,ES,73384,2223207,Esquerda
442,Rubens Otoni,PT,GO,83063,3553706,Esquerda
443,Ze Carlos,PT,MA,76893,3604580,Esquerda
444,Reginaldo Lopes,PT,MG,194332,12211254,Esquerda
445,Paulo Guedes,PT,MG,176841,12211254,Esquerda
446,Rogério Correia,PT,MG,131312,12211254,Esquerda
447,Padre João,PT,MG,131228,12211254,Esquerda
448,Patrus Ananias,PT,MG,112724,12211254,Esquerda
449,Margarida Salomão,PT,MG,89378,12211254,Esquerda
450,Odair Cunha,PT,MG,87891,12211254,Esquerda
451,Leonardo Monteiro,PT,MG,68686,12211254,Esquerda
452,Vander Loubet,PT,MS,55970,1478642,Esquerda
453,Professora Rosa Neide,PT,MT,51015,1757368,Esquerda
454,Beto Faro,PT,PA,143822,4400611,Esquerda
455,Airton Faleiro,PT,PA,106965,4400611,Esquerda
456,Frei Anastacio,PT,PB,91408,2435477,Esquerda
457,Marília Arraes,PT,PE,193108,5391639,Esquerda
458,Carlos Veras,PT,PE,72005,5391639,Esquerda
459,Rejane Dias,PT,PI,138800,1997587,Esquerda
460,Assis Carvalho,PT,PI,129623,1997587,Esquerda
461,Gleisi Lula,PT,PR,212513,6616901,Esquerda
462,Zeca Dirceu,PT,PR,77306,6616901,Esquerda
463,Enio Verri,PT,PR,62169,6616901,Esquerda
464,Benedita da Silva ,PT,RJ,44804,9474441,Esquerda
465,Natalia Bonavides,PT,RN,112998,1966450,Esquerda
466,Mineiro,PT,RN,98070,1966450,Esquerda
467,Paulo Pimenta,PT,RS,133086,6835866,Esquerda
468,Marcon,PT,RS,122838,6835866,Esquerda
469,Henrique Fontana,PT,RS,108585,6835866,Esquerda
470,Bohn Gass,PT,RS,102964,6835866,Esquerda
471,Maria do Rosário,PT,RS,97303,6835866,Esquerda
472,Professor Pedro Uczai,PT,SC,115232,4241667,Esquerda
473,Joao Daniel,PT,SE,59933,1279582,Esquerda
474,Rui Falcão,PT,SP,158389,25921320,Esquerda
475,Carlos Zarattini,PT,SP,137909,25921320,Esquerda
476,Nilto Tatto,PT,SP,124281,25921320,Esquerda
477,Alexandre Padilha,PT,SP,87576,25921320,Esquerda
478,Arlindo Chinaglia,PT,SP,87449,25921320,Esquerda
479,Paulo Teixeira,PT,SP,78512,25921320,Esquerda
480,Vicentinho,PT,SP,70645,25921320,Esquerda
481,Alencar Santana,PT,SP,67892,25921320,Esquerda
482,Celio Moura,PT,TO,18167,831214,Esquerda
483,Nivaldo Albuquerque,PTB,AL,84956,1692875,Direita
484,Pedro Bezerra,PTB,CE,119030,5243490,Direita
485,Pedro Lucas Fernandes,PTB,MA,111538,3604580,Direita
486,Emanuelzinho,PTB,MT,76781,1757368,Direita
487,Paulo Bengtson,PTB,PA,96722,4400611,Direita
488,Eduardo Costa,PTB,PA,75346,4400611,Direita
489,Wilson Santiago,PTB,PB,86208,2435477,Direita
490,Luisa Canziani,PTB,PR,90249,6616901,Direita
491,Maurício Dziedricki,PTB,RS,83617,6835866,Direita
492,Marcelo Moraes,PTB,RS,69904,6835866,Direita
493,Dra. Marina,PTC,PI,70828,1997587,Direita
494,Benes Leocadio,PTC,RN,125841,1966450,Direita
495,Celio Studart,PV,CE,208854,5243490,Esquerda
496,Professor Israel,PV,DF,67598,1691392,Esquerda
497,Leandre,PV,PR,123958,6616901,Esquerda
498,Enrico Misasi,PV,SP,108038,25921320,Esquerda
499,Joenia Wapichana,REDE,RR,8491,286754,Esquerda
500,Dra. Vanda Milani,SOLIDARIEDADE,AC,22219,443429,Centro
501,Bosco Saraiva,SOLIDARIEDADE,AM,55477,1957418,Centro
502,Genecias Noronha,SOLIDARIEDADE,CE,113515,5243490,Centro
503,Lucas Vergílio,SOLIDARIEDADE,GO,78431,3553706,Centro
504,Zé Silva,SOLIDARIEDADE,MG,109335,12211254,Centro
505,Dr Leonardo,SOLIDARIEDADE,MT,52335,1757368,Centro
506,Augusto Coutinho,SOLIDARIEDADE,PE,77817,5391639,Centro
507,Aureo,SOLIDARIEDADE,RJ,68414,9474441,Centro
508,Otaci,SOLIDARIEDADE,RR,11879,286754,Centro
509,Gustinho Ribeiro,SOLIDARIEDADE,SE,64132,1279582,Centro
510,Paulinho da Força,SOLIDARIEDADE,SP,75613,25921320,Centro
511,Tiago Dimas,SOLIDARIEDADE,TO,71842,831214,Centro
512,Eli Borges,SOLIDARIEDADE,TO,48812,831214,Centro
