,Estado,Partido,qtd_votos,qtd_estado,percent,Ideologia
16,AC,MDB,47440,167369,28.34,Centro
77,AC,PSDB,40047,167369,23.93,Centro
92,AC,SOLIDARIEDADE,22219,167369,13.28,Centro
0,AC,DEM,22263,167369,13.3,Direita
58,AC,PRB,7489,167369,4.47,Direita
34,AC,PCDOB,18374,167369,10.98,Esquerda
41,AC,PDT,9537,167369,5.7,Esquerda
17,AL,MDB,71847,892485,8.05,Centro
78,AL,PSDB,44207,892485,4.95,Centro
59,AL,PRB,70413,892485,7.89,Direita
104,AL,PP,143858,892485,16.12,Direita
126,AL,PR,98201,892485,11.0,Direita
167,AL,PSD,139458,892485,15.63,Direita
210,AL,PTB,84956,892485,9.52,Direita
148,AL,PSB,178645,892485,20.02,Esquerda
187,AL,PT,60900,892485,6.82,Esquerda
93,AM,SOLIDARIEDADE,55477,931708,5.95,Centro
60,AM,PRB,224349,931708,24.08,Direita
105,AM,PP,118700,931708,12.74,Direita
127,AM,PR,106805,931708,11.46,Direita
168,AM,PSD,77458,931708,8.31,Direita
218,AM,PSL,151649,931708,16.28,Direita
188,AM,PT,197270,931708,21.17,Esquerda
79,AP,PSDB,14069,131857,10.67,Centro
236,AP,AVANTE,11301,131857,8.57,Centro
240,AP,PROS,19111,131857,14.49,Centro
61,AP,PRB,16519,131857,12.53,Direita
106,AP,PP,12856,131857,9.75,Direita
128,AP,PR,18818,131857,14.27,Direita
35,AP,PCDOB,14196,131857,10.77,Esquerda
149,AP,PSB,24987,131857,18.95,Esquerda
80,BA,PSDB,102603,4220030,2.43,Centro
237,BA,AVANTE,372163,4220030,8.82,Centro
245,BA,PHS,105203,4220030,2.49,Centro
1,BA,DEM,358931,4220030,8.51,Direita
62,BA,PRB,179659,4220030,4.26,Direita
107,BA,PP,431523,4220030,10.23,Direita
129,BA,PR,168700,4220030,4.0,Direita
169,BA,PSD,518106,4220030,12.28,Direita
219,BA,PSL,136742,4220030,3.24,Direita
249,BA,PODEMOS,149274,4220030,3.54,Direita
259,BA,PRP,38829,4220030,0.92,Direita
36,BA,PCDOB,240808,4220030,5.71,Esquerda
42,BA,PDT,154835,4220030,3.67,Esquerda
150,BA,PSB,219625,4220030,5.2,Esquerda
189,BA,PT,976686,4220030,23.14,Esquerda
258,BA,PPL,66343,4220030,1.57,Esquerda
18,CE,MDB,128526,2743414,4.68,Centro
81,CE,PSDB,102470,2743414,3.74,Centro
94,CE,SOLIDARIEDADE,113515,2743414,4.14,Centro
241,CE,PROS,333985,2743414,12.17,Centro
108,CE,PP,132319,2743414,4.82,Direita
130,CE,PR,65300,2743414,2.38,Direita
170,CE,PSD,111154,2743414,4.05,Direita
211,CE,PTB,119030,2743414,4.34,Direita
220,CE,PSL,97201,2743414,3.54,Direita
263,CE,PATRIOTA,67917,2743414,2.48,Direita
43,CE,PDT,735934,2743414,26.83,Esquerda
151,CE,PSB,106294,2743414,3.87,Esquerda
190,CE,PT,420915,2743414,15.34,Esquerda
267,CE,PV,208854,2743414,7.61,Esquerda
2,DF,DEM,65107,587900,11.07,Direita
63,DF,PRB,79775,587900,13.57,Direita
109,DF,PP,31610,587900,5.38,Direita
131,DF,PR,121340,587900,20.64,Direita
260,DF,PRP,86415,587900,14.7,Direita
191,DF,PT,89986,587900,15.31,Esquerda
268,DF,PV,67598,587900,11.5,Esquerda
271,DF,PPS,46069,587900,7.84,Esquerda
3,ES,DEM,57156,758668,7.53,Direita
64,ES,PRB,181813,758668,23.96,Direita
110,ES,PP,48412,758668,6.38,Direita
132,ES,PR,51983,758668,6.85,Direita
221,ES,PSL,57741,758668,7.61,Direita
44,ES,PDT,73030,758668,9.63,Esquerda
152,ES,PSB,140362,758668,18.5,Esquerda
192,ES,PT,73384,758668,9.67,Esquerda
272,ES,PPS,74787,758668,9.86,Esquerda
82,GO,PSDB,70663,1730257,4.08,Centro
95,GO,SOLIDARIEDADE,78431,1730257,4.53,Centro
4,GO,DEM,247696,1730257,14.32,Direita
65,GO,PRB,106014,1730257,6.13,Direita
111,GO,PP,166274,1730257,9.61,Direita
133,GO,PR,88894,1730257,5.14,Direita
171,GO,PSD,111788,1730257,6.46,Direita
222,GO,PSL,305596,1730257,17.66,Direita
250,GO,PODEMOS,61809,1730257,3.57,Direita
261,GO,PRP,64941,1730257,3.75,Direita
278,GO,PSC,100437,1730257,5.8,Direita
45,GO,PDT,169774,1730257,9.81,Esquerda
153,GO,PSB,74877,1730257,4.33,Esquerda
193,GO,PT,83063,1730257,4.8,Esquerda
19,MA,MDB,145013,1897781,7.64,Centro
5,MA,DEM,97075,1897781,5.12,Direita
66,MA,PRB,101806,1897781,5.36,Direita
112,MA,PP,105583,1897781,5.56,Direita
134,MA,PR,312801,1897781,16.48,Direita
172,MA,PSD,106576,1897781,5.62,Direita
212,MA,PTB,111538,1897781,5.88,Direita
251,MA,PODEMOS,105778,1897781,5.57,Direita
264,MA,PATRIOTA,79674,1897781,4.2,Direita
37,MA,PCDOB,245807,1897781,12.95,Esquerda
46,MA,PDT,72038,1897781,3.8,Esquerda
154,MA,PSB,99598,1897781,5.25,Esquerda
194,MA,PT,76893,1897781,4.05,Esquerda
286,MA,PMN,237601,1897781,12.52,Esquerda
20,MG,MDB,311781,5231989,5.96,Centro
83,MG,PSDB,504578,5231989,9.64,Centro
96,MG,SOLIDARIEDADE,109335,5231989,2.09,Centro
238,MG,AVANTE,266754,5231989,5.1,Centro
242,MG,PROS,286593,5231989,5.48,Centro
246,MG,PHS,160609,5231989,3.07,Centro
6,MG,DEM,87683,5231989,1.68,Direita
67,MG,PRB,265182,5231989,5.07,Direita
113,MG,PP,172627,5231989,3.3,Direita
135,MG,PR,105731,5231989,2.02,Direita
173,MG,PSD,350135,5231989,6.69,Direita
223,MG,PSL,597467,5231989,11.42,Direita
252,MG,PODEMOS,60509,5231989,1.16,Direita
265,MG,PATRIOTA,148396,5231989,2.84,Direita
279,MG,PSC,65316,5231989,1.25,Direita
288,MG,NOVO,135923,5231989,2.6,Direita
47,MG,PDT,182978,5231989,3.5,Esquerda
155,MG,PSB,232427,5231989,4.44,Esquerda
195,MG,PT,992392,5231989,18.97,Esquerda
287,MG,PMN,32833,5231989,0.63,Esquerda
293,MG,PSOL,162740,5231989,3.11,Esquerda
84,MS,PSDB,201401,568772,35.41,Centro
7,MS,DEM,75068,568772,13.2,Direita
174,MS,PSD,89385,568772,15.72,Direita
224,MS,PSL,106715,568772,18.76,Direita
48,MS,PDT,40233,568772,7.07,Esquerda
196,MS,PT,55970,568772,9.84,Esquerda
21,MT,MDB,109067,571047,19.1,Centro
97,MT,SOLIDARIEDADE,52335,571047,9.16,Centro
114,MT,PP,73072,571047,12.8,Direita
213,MT,PTB,76781,571047,13.45,Direita
225,MT,PSL,126249,571047,22.11,Direita
253,MT,PODEMOS,82528,571047,14.45,Direita
197,MT,PT,51015,571047,8.93,Esquerda
22,PA,MDB,319849,2314168,13.82,Centro
85,PA,PSDB,295260,2314168,12.76,Centro
8,PA,DEM,237952,2314168,10.28,Direita
68,PA,PRB,158717,2314168,6.86,Direita
136,PA,PR,176812,2314168,7.64,Direita
175,PA,PSD,387913,2314168,16.76,Direita
214,PA,PTB,172068,2314168,7.44,Direita
156,PA,PSB,130768,2314168,5.65,Esquerda
198,PA,PT,250787,2314168,10.84,Esquerda
294,PA,PSOL,184042,2314168,7.95,Esquerda
86,PB,PSDB,207948,1101441,18.88,Centro
9,PB,DEM,76089,1101441,6.91,Direita
69,PB,PRB,92468,1101441,8.4,Direita
115,PB,PP,120220,1101441,10.91,Direita
137,PB,PR,107465,1101441,9.76,Direita
215,PB,PTB,86208,1101441,7.83,Direita
226,PB,PSL,71899,1101441,6.53,Direita
49,PB,PDT,100876,1101441,9.16,Esquerda
157,PB,PSB,146860,1101441,13.33,Esquerda
199,PB,PT,91408,1101441,8.3,Esquerda
23,PE,MDB,87585,2801617,3.13,Centro
98,PE,SOLIDARIEDADE,77817,2801617,2.78,Centro
247,PE,PHS,52824,2801617,1.89,Centro
10,PE,DEM,92188,2801617,3.29,Direita
70,PE,PRB,175124,2801617,6.25,Direita
116,PE,PP,195711,2801617,6.99,Direita
138,PE,PR,129978,2801617,4.64,Direita
176,PE,PSD,118641,2801617,4.23,Direita
227,PE,PSL,117943,2801617,4.21,Direita
254,PE,PODEMOS,73551,2801617,2.63,Direita
266,PE,PATRIOTA,125025,2801617,4.46,Direita
280,PE,PSC,175834,2801617,6.28,Direita
38,PE,PCDOB,57919,2801617,2.07,Esquerda
50,PE,PDT,158234,2801617,5.65,Esquerda
158,PE,PSB,800385,2801617,28.57,Esquerda
200,PE,PT,265113,2801617,9.46,Esquerda
273,PE,PPS,97745,2801617,3.49,Esquerda
24,PI,MDB,73302,994458,7.37,Centro
117,PI,PP,172615,994458,17.36,Direita
139,PI,PR,132719,994458,13.35,Direita
177,PI,PSD,110804,994458,11.14,Direita
298,PI,PTC,70828,994458,7.12,Direita
51,PI,PDT,111672,994458,11.23,Esquerda
159,PI,PSB,54095,994458,5.44,Esquerda
201,PI,PT,268423,994458,26.99,Esquerda
25,PR,MDB,204794,3225750,6.35,Centro
243,PR,PROS,162633,3225750,5.04,Centro
11,PR,DEM,92300,3225750,2.86,Direita
71,PR,PRB,194302,3225750,6.02,Direita
118,PR,PP,155565,3225750,4.82,Direita
140,PR,PR,292364,3225750,9.06,Direita
178,PR,PSD,601875,3225750,18.66,Direita
216,PR,PTB,90249,3225750,2.8,Direita
228,PR,PSL,350491,3225750,10.87,Direita
255,PR,PODEMOS,103154,3225750,3.2,Direita
281,PR,PSC,118754,3225750,3.68,Direita
52,PR,PDT,113252,3225750,3.51,Esquerda
160,PR,PSB,193600,3225750,6.0,Esquerda
202,PR,PT,351988,3225750,10.91,Esquerda
269,PR,PV,123958,3225750,3.84,Esquerda
274,PR,PPS,76471,3225750,2.37,Esquerda
26,RJ,MDB,248566,3711261,6.7,Centro
99,RJ,SOLIDARIEDADE,68414,3711261,1.84,Centro
239,RJ,AVANTE,25817,3711261,0.7,Centro
244,RJ,PROS,35131,3711261,0.95,Centro
248,RJ,PHS,28216,3711261,0.76,Centro
12,RJ,DEM,270168,3711261,7.28,Direita
72,RJ,PRB,129820,3711261,3.5,Direita
119,RJ,PP,150846,3711261,4.06,Direita
141,RJ,PR,103695,3711261,2.79,Direita
179,RJ,PSD,298046,3711261,8.03,Direita
229,RJ,PSL,1128206,3711261,30.4,Direita
262,RJ,PRP,39398,3711261,1.06,Direita
282,RJ,PSC,120498,3711261,3.25,Direita
289,RJ,NOVO,52983,3711261,1.43,Direita
300,RJ,DC,50284,3711261,1.35,Direita
39,RJ,PCDOB,71646,3711261,1.93,Esquerda
53,RJ,PDT,51974,3711261,1.4,Esquerda
161,RJ,PSB,227914,3711261,6.14,Esquerda
203,RJ,PT,44804,3711261,1.21,Esquerda
275,RJ,PPS,50533,3711261,1.36,Esquerda
295,RJ,PSOL,514302,3711261,13.86,Esquerda
27,RN,MDB,79333,744528,10.66,Centro
142,RN,PR,93505,744528,12.56,Direita
180,RN,PSD,70350,744528,9.45,Direita
230,RN,PSL,81640,744528,10.97,Direita
299,RN,PTC,125841,744528,16.9,Direita
162,RN,PSB,82791,744528,11.12,Esquerda
204,RN,PT,211068,744528,28.35,Esquerda
28,RO,MDB,38630,312898,12.35,Centro
87,RO,PSDB,38776,312898,12.39,Centro
120,RO,PP,34193,312898,10.93,Direita
181,RO,PSD,39953,312898,12.77,Direita
231,RO,PSL,28344,312898,9.06,Direita
256,RO,PODEMOS,69565,312898,22.23,Direita
54,RO,PDT,33038,312898,10.56,Esquerda
163,RO,PSB,30399,312898,9.72,Esquerda
88,RR,PSDB,12129,98899,12.26,Centro
100,RR,SOLIDARIEDADE,11879,98899,12.01,Centro
73,RR,PRB,13429,98899,13.58,Direita
121,RR,PP,13299,98899,13.45,Direita
143,RR,PR,11952,98899,12.09,Direita
182,RR,PSD,14751,98899,14.92,Direita
232,RR,PSL,12969,98899,13.11,Direita
301,RR,REDE,8491,98899,8.59,Esquerda
29,RS,MDB,380096,3318983,11.45,Centro
89,RS,PSDB,189135,3318983,5.7,Centro
13,RS,DEM,183518,3318983,5.53,Direita
74,RS,PRB,103373,3318983,3.11,Direita
122,RS,PP,388951,3318983,11.72,Direita
144,RS,PR,151719,3318983,4.57,Direita
183,RS,PSD,102662,3318983,3.09,Direita
217,RS,PTB,153521,3318983,4.63,Direita
233,RS,PSL,212423,3318983,6.4,Direita
290,RS,NOVO,349855,3318983,10.54,Direita
55,RS,PDT,262622,3318983,7.91,Esquerda
164,RS,PSB,162030,3318983,4.88,Esquerda
205,RS,PT,564776,3318983,17.02,Esquerda
296,RS,PSOL,114302,3318983,3.44,Esquerda
30,SC,MDB,254624,1422057,17.91,Centro
90,SC,PSDB,101937,1422057,7.17,Centro
75,SC,PRB,179307,1422057,12.61,Direita
123,SC,PP,86189,1422057,6.06,Direita
184,SC,PSD,129960,1422057,9.14,Direita
234,SC,PSL,399348,1422057,28.08,Direita
291,SC,NOVO,27443,1422057,1.93,Direita
165,SC,PSB,43314,1422057,3.05,Esquerda
206,SC,PT,115232,1422057,8.1,Esquerda
276,SC,PPS,84703,1422057,5.96,Esquerda
31,SE,MDB,64879,488343,13.29,Centro
101,SE,SOLIDARIEDADE,64132,488343,13.13,Centro
124,SE,PP,68014,488343,13.93,Direita
145,SE,PR,47788,488343,9.79,Direita
185,SE,PSD,102899,488343,21.07,Direita
283,SE,PSC,45472,488343,9.31,Direita
56,SE,PDT,35226,488343,7.21,Esquerda
207,SE,PT,59933,488343,12.27,Esquerda
32,SP,MDB,263695,11965169,2.2,Centro
91,SP,PSDB,673247,11965169,5.63,Centro
102,SP,SOLIDARIEDADE,75613,11965169,0.63,Centro
14,SP,DEM,863226,11965169,7.21,Direita
76,SP,PRB,990010,11965169,8.27,Direita
125,SP,PP,493888,11965169,4.13,Direita
146,SP,PR,1373811,11965169,11.48,Direita
186,SP,PSD,256652,11965169,2.14,Direita
235,SP,PSL,3624935,11965169,30.3,Direita
257,SP,PODEMOS,457056,11965169,3.82,Direita
284,SP,PSC,91797,11965169,0.77,Direita
292,SP,NOVO,316757,11965169,2.65,Direita
40,SP,PCDOB,64822,11965169,0.54,Esquerda
57,SP,PDT,264450,11965169,2.21,Esquerda
166,SP,PSB,392686,11965169,3.28,Esquerda
208,SP,PT,812653,11965169,6.79,Esquerda
270,SP,PV,108038,11965169,0.9,Esquerda
277,SP,PPS,259729,11965169,2.17,Esquerda
297,SP,PSOL,582104,11965169,4.86,Esquerda
33,TO,MDB,40719,384154,10.6,Centro
103,TO,SOLIDARIEDADE,120654,384154,31.41,Centro
15,TO,DEM,96020,384154,25.0,Direita
147,TO,PR,49868,384154,12.98,Direita
285,TO,PSC,58726,384154,15.29,Direita
209,TO,PT,18167,384154,4.73,Esquerda
