Nome,Usuário,Partido,Orientação Política
Tulio Gadelha,tuliogadelha,PDT,Esquerda
Silvio Costa Filho,Silvio_CFilho,PRB,Direita
Renildo Calheiros,renildo,PC do B,Esquerda
Marilia Arraes,MariliaArraes,PT,Esquerda
Joao Campos,JoaoCampos,PRB,Direita
Joao Campos,JoaoCampos,PSB,Esquerda
Fernando Filho,fernandofilhope,DEM,Direita
Felipe Carreras,felipecarreras,PSB,Esquerda
Eduardo da Fonte,eduardodafonte,PP,Direita
Danilo Cabral,danilocabral__,PSB,Esquerda
Danilo Cabral,daniloc4010,PSB,Esquerda
Carlos Veras,carlosveraspt,PT,Esquerda
Augusto Coutinho,dep_acoutinho,SD,Centro
Zeca Dirceu,zeca_dirceu,PT,Esquerda
Toninho Wandscheer,deputadotoninho,PROS,Centro
Sergio Souza,_sergiosouza,MDB,Centro
Deputado Federal Schiavinato,Schiavinato_,PP,Direita
Sargento Fahur,SargentoFAHUR,PSD,Direita
Sandro Alex,SandroAlex5555,PSD,Direita
Rubens Bueno,23rubensbueno,PPS,Esquerda
Ricardo Barros,RicardoBarrosPP,PP,Direita
Pedro Lupion,pedro_lupion,DEM,Direita
Ney Leprevost,neyleprevost,PSD,Direita
Luizao Goulart,luizaogoulart,PRB,Direita
Luiz Nishimori,LuizNishimori,PR,Direita
Luisa Canziani,luisa_canziani,PTB,Direita
Luciano Ducci,LucianoDucci,PSB,Esquerda
Gustavo Fruet,gustavofruet,PDT,Esquerda
Gleisi Hoffmann,gleisi,PT,Esquerda
Giacobo,fernandogiacobo,PR,Direita
Filipe Barros,filipebarrost,PSL,Direita
Felipe Francischini,FFrancischini_,PSL,Direita
Enio Verri,enioverri,PT,Esquerda
Diego Garcia,diegogarciapr,PODE,Direita
Christiane Yared,ChristianeYared,PR,Direita
Boca Aberta Oficial,BocaAbertaOf,PROS,Centro
AROLDO MARTINS,aroldomartins,PRB,Direita
Deputada Federal Aline Sleutjes,AlineSleutjes,PSL,Direita
Aliel Machado,alielmachado,PSB,Esquerda
Pompeo de Mattos,PompeodeMattos,PDT,Esquerda
Pedro Westphalen,pedrowestphalen,PP,Direita
Paulo Pimenta,DeputadoFederal,PT,Esquerda
Osmar Terra,OsmarTerra,MDB,Centro
Onyx Lorenzoni ,onyxlorenzoni,DEM,Direita
Mauricio Dziedricki,mauricioptbrs,PTB,Direita
Marlon Santos,deputado_marlon,PDT,Esquerda
Maria do Rosario,mariadorosario,PT,Esquerda
Marcio Biolchi,marciobiolchi,MDB,Centro
Marcel van Hattem,marcelvanhattem,NOVO,Direita
Lucas Redecker,LucasRedecker,PSDB,Centro
Deputado Liziane Bayer,LizianeBayer,PSB,Esquerda
Jeronimo Goergen,jeronimogoergen,PP,Direita
Henrique Fontana,HenriqueFontana,PT,Esquerda
Heitor Schuch,HeitorSchuch,PSB,Esquerda
Giovani Feltes,GiovaniFeltes,MDB,Centro
Giovani Cherini,giovanicherini,PR,Direita
Fernanda Melchionna,fernandapsol,PSOL,Esquerda
Covatti Filho,CovattiFilho,PP,Direita
Carlos Gomes,carlosgomesdep,PRB,Direita
Bohn Gass,BohnGass,PT,Esquerda
Bibo Nunes,bibonunes1,PSL,Direita
Alceu Moreira,Alceu_Moreira,MDB,Centro
Afonso Motta,afonso_motta,PDT,Esquerda
Ze Neto,depzeneto,PT,Esquerda
Waldenor Pereira,waldenorpereira,PT,Esquerda
Valmir Assunçao,DepValmir,PT,Esquerda
Sergio Brito,sergiobritoBA,PSD,Direita
Raimundo Costa,raimundocostaba,PRP,Direita
Professora Dayane Pimentel,deppimentel,PSL,Direita
Pelegrino,nelsonpelegrino,PT,Esquerda
Paulo Azi,PauloAzi,DEM,Direita
Pastor Abilio Santan,AbilioSantanaBA,PHS,Centro
Otto Alencar Filho,OttoAlencarFilh,PSD,Direita
Marcio Marinho,dpmarciomarinho,PRB,Direita
Deputado Federal Marcelo Nilo,depmarcelonilo,PSB,Esquerda
Lidice da Mata,lidicedamata,PSB,Esquerda
Leur Lomanto Jr,LeurLomantoJr,DEM,Direita
Josias Gomes,josiasgomesba,PT,Esquerda
Jose Rocha,dep_joserocha,PR,Direita
Jose Nunes,JoseNunesDep,PSD,Direita
Jorge Solla,depjorgesolla,PT,Esquerda
Joao Roma,joaoromaneto,PRB,Direita
Felix Mendonça Jr.,FelixMendoncaJr,PDT,Esquerda
Daniel Almeida,Daniel_PCdoB,PC do B,Esquerda
Claudio Cajado,deputadocajado,PP,Direita
Caca Leao,CacaLeao,PP,Direita
Arthur Maia,DepArthurMaia,DEM,Direita
Alice Portugal,Alice_Portugal,PC do B,Esquerda
Alex Santana,depalexsantana,PDT,Esquerda
Afonso Florence,AfonsoFlorence,PT,Esquerda
Adolfo Viana,AdolfoViana_,PSDB,Centro
Wladimir Garotinho,WladGarotinho,PRP,Direita
Taliria Petrone,taliriapetrone,PSOL,Esquerda
Sostenes,DepSostenes,DEM,Direita
Rosangela Gomes,rosangelasgomes,PRB,Direita
Deputado Soraya Santos,sorayasantos,PR,Direita
Rodrigo Maia,RodrigoMaia,DEM,Direita
Pedro Paulo,pedropaulo,DEM,Direita
Professor Joziel,professorjoziel,PSL,Direita
Paulo Ganime,pauloganime,NOVO,Direita
Otoni de Paula,OtoniDepFederal,PSC,Direita
Marcio Labre Oficial,marciolabre,PSL,Direita
Marcelo Freixo,MarceloFreixo,PSOL,Esquerda
Marcelo Calero ,caleromarcelo,PPS,Esquerda
Major Fabiana,majorfabianadep,PSL,Direita
Luiz Lima,Oficialluizlima,PSL,Direita
Luiz Antonio Correa,depluizantonio,DC,Direita
Lourival Gomes De Almeida,LourivalGomesrj,PSL,Direita
Juninho do Pneu,JuninhodoPneu,DEM,Direita
Jandira Feghali,jandira_feghali,PC do B,Esquerda
Hugo Leal,depHugoLeal,PRB,Direita
Hugo Leal,depHugoLeal,PSD,Direita
Helio Fernando Barbosa Lopes,HlioFernandoBa1,PSL,Direita
Glauber Braga,Glauber_Braga,PSOL,Esquerda
Flordelis,depflordelis,PSD,Direita
Delegado Felicio Laterça,FederalFelicio,PSL,Direita
Deputado Delegado Antonio Furtado,DelegadoFurtado,PSL,Direita
Daniela do Waguinho,DanielaWaguinho,MDB,Centro
Daniel Silveira,danielPMERJ,PSL,Direita
Chris Tonietto,ToniettoChris,PSL,Direita
Chiquinho Brazao,BrazaoChiquinho,AVANTE,Centro
Carlos Jordy,carlosjordy,PSL,Direita
Benedita da Silva,dasilvabenedita,PT,Esquerda
Christino aureo,christinoaureo,SD,Centro
Christino aureo,christinoaureo,PP,Direita
Altineu Cortes,Altineu,PR,Direita
Alexandre Serfiotis,AleSerfiotis,PSD,Direita
Alessandro Molon ,alessandromolon,PSB,Esquerda
Ze Vitor,zevitor_mg,PMN,Esquerda
Deputado Ze Silva,ZeSilva_,SD,Centro
Weliton Prado,pradoweliton,PROS,Centro
Tiago Mitraud,TiagoMitraud,NOVO,Direita
Subtenente GONZAGA,subgonzagamg,PDT,Esquerda
Deputado Stefano Aguiar,depstefano,PSD,Direita
Rogerio Correia,RogerioCorreia_,PT,Esquerda
Rodrigo de Castro,RodrigoCastro45,PSDB,Centro
Reginaldo Lopes ,ReginaldoLopes,PT,Esquerda
Paulo Guedes,deppauloguedes,PT,Esquerda
Patrus Ananias,Patrus_Ananias,PT,Esquerda
Padre Joao PT,dep_padrejoao,PT,Esquerda
Odair Cunha,odaircunhamg,PT,Esquerda
Newton Cardoso Jr.,newton1510,MDB,Centro
MAURO LOPES,depmaurolopes,MDB,Centro
Margarida Salomao,JFMargarida,PT,Esquerda
Marcelo Aro,marceloaro,PHS,Centro
Marcelo alvaro Antonio,Marceloalvaroan,PSL,Direita
Luis Tibe,LuisTibeOficial,AVANTE,Centro
Lucas Gonzalez,lucasvgonzalez,NOVO,Direita
Lincoln Portela,lincoln_portela,PR,Direita
Leonardo Monteiro,depleomonteiro,PT,Esquerda
Deputado Federal Leo Motta ,leomotta_ofc,PSL,Direita
Julio Delgado,depjuliodelgado,PSB,Esquerda
Igor Timo,oficialigortimo,PODE,Direita
Hercilio Coelho Diniz,herciliodiniz,MDB,Centro
Gilberto Abramo 1010,gilbertoabramo,PRB,Direita
Fred Costa,FredCostaDep,PATRI,Direita
Franco Cartafina,FrancoCartafina,PHS,Centro
Fabio Ramalho,_FabinhoRamalho,MDB,Centro
Euclydes Pettersen,EuclydesPetter,PSC,Direita
Eros Biondini,erosbiondini,PROS,Centro
EDUARDO BARBOSA,eduardobarbosa_,PSDB,Centro
Mario Heringer,mario_heringer,PDT,Esquerda
Domingos Savio,DomingosSavioMG,PSDB,Centro
Dimas Fabiano,depdimasfabiano,PP,Direita
Delegado Marcelo Freitas,DelegadoFreitas,PSL,Direita
Charlles Evangelista,charllesevg,PSL,Direita
Junio Amaral,cabojunioamaral,PSL,Direita
Bilac Pinto,depbilacpinto,DEM,Direita
aurea Carolina,aureacarolinax,PSOL,Esquerda
Andre Janones,AndreJanonesAdv,AVANTE,Centro
Ale Silva  nem lugar na fila eu quero,alesilva_38,PSL,Direita
Aecio Neves,AecioNeves,PSDB,Centro
Vitor Lippi Oficial,DepVitorLippi,PSDB,Centro
Vinicius Poit,ViniciusPoit,PR,Direita
Vinicius Poit,ViniciusPoit,NOVO,Direita
viniciusfederal,viniciusfederal,PR,Direita
Deputado Federal Vicentinho - PT - SP,VICENTINHOPT,PT,Esquerda
Vanderlei Macris,vanderleimacris,PSDB,Centro
Tiririca na Web,tiriricanaweb,PR,Direita
Tabata Amaral,tabataamaralsp,PDT,Esquerda
Samuel Moreira,samuelmoreira,PSDB,Centro
Samia Bomfim,samiabomfim,PSOL,Esquerda
Rui Falcao,rfalcao13,PT,Esquerda
Rosana Valle,DepRosanaValle,PSB,Esquerda
Rodrigo Agostinho,rodrigoagost,PSB,Esquerda
Roberto de Lucena,robertodelucena,PODE,Direita
Roberto Alves Republicanos,RobertoAlves_10,PRB,Direita
Deputado Ricardo Izar,RicardoIzar,PP,Direita
Renata Abreu,RenataAbreu1919,PODE,Direita
Katia Sastre,KatiaSastre,PR,Direita
Paulo Teixeira,pauloteixeira13,PT,Esquerda
Paulo Freire Costa,DF_PauloFreire,PR,Direita
Paulinho da Força,dep_paulinho,SD,Centro
Marco Feliciano,marcofeliciano,PODE,Direita
Orlando Silva,orlandosilva,PC do B,Esquerda
Nilto Tatto - #ForaBolsonaro,NiltoTatto,PT,Esquerda
Milton Vieira,MiltonVieiraOfc,PRB,Direita
Miguel Lombardi,DMiguellombardi,PR,Direita
Maria Rosas,mariarosassp,PRB,Direita
Marcos Pereira,marcospereira04,PRB,Direita
Marco Bertaiolli,MarcoBertaiolli,PSD,Direita
Marcio Alvino,AlvinoMarcio,PR,Direita
Luiza Erundina,luizaerundina,PSOL,Esquerda
Luiz Philippe O. Bragança,lpbragancabr,PSL,Direita
Kim Kataguiri,KimKataguiri,DEM,Direita
Bozzella,bozzellajr,PSL,Direita
Joice Hasselmann,joicehasselmann,PSL,Direita
Jefferson Campos,DepJefferson,PSB,Esquerda
Ivan Valente,IvanValente,PSOL,Esquerda
Herculano Passos,herculanopassos,MDB,Centro
Guilherme Mussi,GuilhermeMussi,PP,Direita
Guiga Peixoto,DepGuigaPeixoto,PSL,Direita
Gilberto Nascimento,GilbertoPSC20,PSC,Direita
Deputado Geninho Zuliani,geninhozuliani,DEM,Direita
Deputado General Peternelli,GenPeternelli,PSL,Direita
Enrico Misasi,enricomisasi,PV,Esquerda
Eduardo Cury,Eduardo_Cury,PSDB,Centro
Eduardo Bolsonaro,BolsonaroSP,PSL,Direita
David Soares,davidbrsoares,DEM,Direita
Coronel Tadeu,CoronelTadeu,PSL,Direita
Cezinha de Madureira,Czmadureira,PSD,Direita
Carlos Zarattini,CarlosZarattini,PT,Esquerda
Carlos Sampaio,carlossampaio_,PSDB,Centro
Carla Zambelli,CarlaZambelli38,PSL,Direita
Capitao Augusto,capitao_augusto,PR,Direita
Baleia Rossi,Baleia_Rossi,MDB,Centro
Arnaldo Jardim,ArnaldoJardim,PPS,Esquerda
Arlindo Chinaglia,achinaglia,PT,Esquerda
Alexis Fonteyne,AlexisFonteyne,NOVO,Direita
Alexandre Padilha,padilhando,PT,Esquerda
Alexandre Leite,lexandreleite,DEM,Direita
Alex Manente,AlexManente23,PPS,Esquerda
Alencar Santana,AlencarBraga13,PT,Esquerda
Adriana Ventura,adriventurasp,NOVO,Direita
Abou Anni,abou_anni,PSL,Direita
Felipe Moura Brasil,FMouraBrasil,Sem Partido,Direita
George Marques,GeorgMarques,Sem Partido,Esquerda
Silas Malafaia,PastorMalafaia,Sem Partido,Direita
Rodrigo Moller,Ro_Moller,Sem Partido,Direita
Xico Sá,xicosa,Sem Partido,Esquerda
Marcelo Rubens Paiva,marcelorubens,Sem Partido,Esquerda
Andréia Sadi,AndreiaSadi,Sem Partido,Centro
Guga Chacra,gugachacra,Sem Partido,Centro
Diego Escosteguy,diegoescosteguy,Sem Partido,Direita
Cynara Menezes,cynaramenezes,Sem Partido,Esquerda
Luis Nassif,luisnassif,Sem Partido,Esquerda
Janaina Paschoal,JanainaDoBrasil,PSL,Direita
Leonardo Boff,LeonardoBoff,Sem Partido,Esquerda
Stanley Burburinho,stanleyburburin,Sem Partido,Esquerda
Pablo Villaça,pablovillaca,Sem Partido,Esquerda
Emir Sader,emirsader,Sem Partido,Esquerda
Roger Rocha Moreira,roxmo,Sem Partido,Direita
Luís Felipe Pondé,lf_ponde,Sem Partido,Direita
Danilo Gentilli,DaniloGentili,Sem Partido,Direita
Felipe Neto,felipeneto,Sem Partido,Esquerda
Marco Antonio Villa,VillaMarcovilla,Sem Partido,Direita
Reinaldo Azevedo,reinaldoazevedo,Sem Partido,Centro
Miriam Leitão,miriamleitao,Sem Partido,Centro
Gabriela Prioli,GabrielaPrioli,Sem Partido,Esquerda
Henry Bugalho,henrybugalho,Sem Partido,Esquerda
Rosana Pinheiro Machado,_pinheira,Sem Partido,Esquerda
Gregório Duvivier,gduvivier,Sem Partido,Esquerda
Sleeping Giants Brasil,slpng_giants_pt,Sem Partido,Esquerda